year,month,carrier,airport,delay_rate,cancel_rate,divert_rate,total_delay_minutes
2025,7,NK,SNA,0.2,0.008,0.0,1910.0
2025,7,NK,STL,0.2051,0.0,0.0,588.0
2025,7,NK,STT,0.12,0.0,0.0,735.0
2025,7,NK,STX,0.0968,0.0,0.0323,152.0
2025,7,NK,TPA,0.2241,0.0099,0.0074,6070.0
2025,7,OH,ABE,0.3571,0.0357,0.0,1639.0
2025,7,OH,AGS,0.4194,0.1452,0.0161,2276.0
2025,7,OH,ALB,0.3,0.1167,0.0,4342.0
2025,7,OH,ATL,0.2568,0.0901,0.0045,3916.0
2025,7,OH,AUS,0.25,0.0,0.0,40.0
2025,7,OH,AVL,0.2222,0.1212,0.0,1801.0
2025,7,OH,AVP,0.0714,0.0714,0.0357,48.0
2025,7,OH,BDL,0.191,0.0787,0.0,1498.0
2025,7,OH,BGR,0.2892,0.1205,0.0,2183.0
2025,7,OH,BHM,0.3165,0.0672,0.0084,10328.0
2025,7,OH,BNA,0.2535,0.1056,0.0141,2723.0
2025,7,OH,BTR,0.3085,0.1011,0.0,4327.0
2025,7,OH,BTV,0.2629,0.0914,0.0,3504.0
2025,7,OH,BUF,0.3503,0.0892,0.0064,6223.0
2025,7,OH,BWI,0.4167,0.0,0.0,246.0
2025,7,OH,CAE,0.3219,0.137,0.0,2901.0
2025,7,OH,CAK,0.3611,0.0556,0.0,5054.0
2025,7,OH,CHA,0.4556,0.0889,0.0,3408.0
2025,7,OH,CHS,0.2407,0.0324,0.0046,4320.0
2025,7,OH,CID,0.129,0.0323,0.0,246.0
2025,7,OH,CLE,0.3532,0.1443,0.0,6502.0
2025,7,OH,CMH,0.2808,0.0548,0.0,3540.0
2025,7,OH,COU,0.5,0.0,0.0,332.0
2025,7,OH,CRW,0.3023,0.0853,0.0078,3662.0
2025,7,OH,CVG,0.4615,0.0731,0.0115,10022.0
2025,7,OH,DAB,0.3279,0.0164,0.0,2681.0
2025,7,OH,DAY,0.3648,0.0446,0.0,13676.0
2025,7,OH,DFW,0.2721,0.0347,0.0026,62089.0
2025,7,OH,DSM,0.2759,0.1494,0.0115,3876.0
2025,7,OH,DTW,0.314,0.1901,0.0,4606.0
2025,7,OH,ECP,0.2248,0.0459,0.0,3630.0
2025,7,OH,EWN,0.1364,0.0,0.0,76.0
2025,7,OH,FWA,0.292,0.0354,0.0,2780.0
2025,7,OH,GNV,0.1818,0.0909,0.0,99.0
2025,7,OH,GPT,0.1477,0.0227,0.0,1634.0
2025,7,OH,GRR,0.2537,0.1493,0.0,1748.0
2025,7,OH,GSO,0.4231,0.0769,0.0,890.0
2025,7,OH,GSP,0.4305,0.0644,0.0,14745.0
2025,7,OH,HPN,0.345,0.0786,0.0044,7869.0
2025,7,OH,HSV,0.2727,0.0909,0.0,3174.0
2025,7,OH,IAD,0.2937,0.0699,0.0,3842.0
2025,7,OH,ICT,0.2628,0.0256,0.0,5222.0
2025,7,OH,ILM,0.3109,0.1513,0.0,2362.0
